1652378172.502736 client started (11983): version 3.2a, socket /private/tmp/tmux-503/default, protocol 8
1652378172.502816 on Darwin 21.4.0 Darwin Kernel Version 21.4.0: Fri Mar 18 00:45:05 PDT 2022; root:xnu-8020.101.4~15/RELEASE_X86_64
1652378172.502838 using libevent 2.1.12-stable (select); utf8proc 2.7.0; ncurses 6.3
1652378172.505469 sending message 105 to peer 0x7fed80008000 (22 bytes)
1652378172.505476 sending message 105 to peer 0x7fed80008000 (38 bytes)
1652378172.505482 sending message 105 to peer 0x7fed80008000 (24 bytes)
1652378172.505488 sending message 105 to peer 0x7fed80008000 (20 bytes)
1652378172.505494 sending message 105 to peer 0x7fed80008000 (40 bytes)
1652378172.505499 sending message 105 to peer 0x7fed80008000 (24 bytes)
1652378172.505505 sending message 105 to peer 0x7fed80008000 (22 bytes)
1652378172.505511 sending message 105 to peer 0x7fed80008000 (61 bytes)
1652378172.505519 sending message 105 to peer 0x7fed80008000 (14 bytes)
1652378172.505525 sending message 105 to peer 0x7fed80008000 (15 bytes)
1652378172.505531 sending message 105 to peer 0x7fed80008000 (17 bytes)
1652378172.505537 sending message 105 to peer 0x7fed80008000 (19 bytes)
1652378172.505543 sending message 105 to peer 0x7fed80008000 (41 bytes)
1652378172.505548 sending message 105 to peer 0x7fed80008000 (8 bytes)
1652378172.505554 sending message 105 to peer 0x7fed80008000 (16 bytes)
1652378172.505560 sending message 105 to peer 0x7fed80008000 (32 bytes)
1652378172.505566 sending message 105 to peer 0x7fed80008000 (54 bytes)
1652378172.505572 sending message 105 to peer 0x7fed80008000 (17 bytes)
1652378172.505578 sending message 105 to peer 0x7fed80008000 (36 bytes)
1652378172.505584 sending message 105 to peer 0x7fed80008000 (25 bytes)
1652378172.505589 sending message 105 to peer 0x7fed80008000 (19 bytes)
1652378172.505595 sending message 105 to peer 0x7fed80008000 (32 bytes)
1652378172.505601 sending message 105 to peer 0x7fed80008000 (44 bytes)
1652378172.505607 sending message 105 to peer 0x7fed80008000 (15 bytes)
1652378172.505613 sending message 105 to peer 0x7fed80008000 (11 bytes)
1652378172.505638 sending message 105 to peer 0x7fed80008000 (307 bytes)
1652378172.505658 sending message 105 to peer 0x7fed80008000 (28 bytes)
1652378172.505665 sending message 105 to peer 0x7fed80008000 (46 bytes)
1652378172.505671 sending message 105 to peer 0x7fed80008000 (34 bytes)
1652378172.505677 sending message 105 to peer 0x7fed80008000 (16 bytes)
1652378172.505683 sending message 105 to peer 0x7fed80008000 (47 bytes)
1652378172.505689 sending message 105 to peer 0x7fed80008000 (24 bytes)
1652378172.505694 sending message 105 to peer 0x7fed80008000 (65 bytes)
1652378172.505700 sending message 105 to peer 0x7fed80008000 (80 bytes)
1652378172.505706 sending message 105 to peer 0x7fed80008000 (15 bytes)
1652378172.505712 sending message 105 to peer 0x7fed80008000 (8 bytes)
1652378172.505718 sending message 105 to peer 0x7fed80008000 (35 bytes)
1652378172.505726 sending message 105 to peer 0x7fed80008000 (66 bytes)
1652378172.505732 sending message 105 to peer 0x7fed80008000 (21 bytes)
1652378172.505738 sending message 105 to peer 0x7fed80008000 (86 bytes)
1652378172.505746 sending message 105 to peer 0x7fed80008000 (18 bytes)
1652378172.505752 sending message 105 to peer 0x7fed80008000 (26 bytes)
1652378172.505758 sending message 105 to peer 0x7fed80008000 (60 bytes)
1652378172.505764 sending message 105 to peer 0x7fed80008000 (57 bytes)
1652378172.505769 sending message 105 to peer 0x7fed80008000 (42 bytes)
1652378172.505775 sending message 105 to peer 0x7fed80008000 (13 bytes)
1652378172.505781 sending message 105 to peer 0x7fed80008000 (55 bytes)
1652378172.505787 sending message 105 to peer 0x7fed80008000 (13 bytes)
1652378172.505792 sending message 105 to peer 0x7fed80008000 (14 bytes)
